id,munin,vereda,longitud,latitud,tipo_fuente,equi_control,tipo_activ,proceso,nseguim,fecha_otro,fecha_ven,vigente,cont_evaluad,tipo_comb,alt_ptemi,diam_ptem,estudio,tit_minero,observacion,Coordenadas
559,Samaca,Loma Redonda,-73.55670278,5.46671667,Caldera / Horno,NA,Produccion De Coque,Horno,2,12/17/2009 12:00:00 AM,12/17/2014 12:00:00 AM,No,Mp; So2; Hct; Dioxinas; Furanos,Carbon,,,Emisiones,NO,Con Solicitud De Renovacion Del Permiso De Emisiones,POINT (-73.55670278 5.46671667)
560,Samaca,Loma Redonda,-73.55804167,5.46448611,De Area,NA,Produccion De Coque,Acopio,2,12/17/2009 12:00:00 AM,12/17/2014 12:00:00 AM,No,Material Particulado (Mp),NA,,,Calidad Del Aire,NO,Con Solicitud De Renovacion Del Permiso De Emisiones,POINT (-73.55804167 5.46448611)
561,Samaca,La Chorrera,-73.52688889,5.47577778,Caldera / Horno,NA,Produccion De Coque,Horno,3,01/28/2011 12:00:00 AM,05/06/2016 12:00:00 AM,No,Mp; So2; Hct; Dioxinas; Furanos,Carbon,27,2.5,Emisiones,NO,Con Solicitud De Renovacion Del Permiso De Emisiones,POINT (-73.52688889 5.47577778)
562,Samaca,La Chorrera,-73.52685278,5.47499167,Dispersa,NA,Produccion De Coque,Molienda,3,01/28/2011 12:00:00 AM,05/06/2016 12:00:00 AM,No,Material Particulado (Mp),NA,,,Calidad Del Aire,NO,Con Solicitud De Renovacion Del Permiso De Emisiones,POINT (-73.52685278 5.47499167)
563,Samaca,La Chorrera,-73.52588889,5.47615278,De Area,NA,Produccion De Coque,Acopio,3,01/28/2011 12:00:00 AM,05/06/2016 12:00:00 AM,No,Material Particulado (Mp),NA,,,Calidad Del Aire,NO,Con Solicitud De Renovacion Del Permiso De Emisiones,POINT (-73.52588889 5.47615278)
564,Samaca,La Chorrera,-73.52741111,5.47828333,Caldera / Horno,NA,Produccion De Coque,Horno,4,,07/07/2015 12:00:00 AM,No,Pm-10; So2; Nox; Hct; Dioxinas; Furanos,Carbon,,,Emisiones,NA,Permiso Vencido; Con Solicitud De Renovacion; En Espera De Evaluacion Grupo Corpoboyaca,POINT (-73.52741111 5.47828333)
565,Samaca,La Chorrera,-73.52453056,5.47908333,Caldera / Horno,NA,Produccion De Coque,Horno,4,,07/07/2015 12:00:00 AM,No,Pm-10; So2; Nox; Hct; Dioxinas; Furanos,Carbon,,,Emisiones,NA,Permiso Vencido; Con Solicitud De Renovacion; En Espera De Evaluacion Grupo Corpoboyaca,POINT (-73.52453056 5.47908333)
566,Tibasosa,La Carrera-Patrocinio,-72.95541389,5.72284167,Caldera / Horno,Otro,Planta De Asfalto Y Trituracion,Horno,0,,08/01/2016 12:00:00 AM,No,Material Particulado; Dioxido De Azufre; Oxidos D*,Acpm,15,0.5,Emisiones,NA,Expediente Y Perm-0001-11,POINT (-72.95541389 5.72284167)
567,Tibasosa,La Carrera-Patrocinio,-72.95375833,5.72259444,Dispersa,Otro,Planta De Asfalto Y Trituracion,Acopio,0,,08/01/2016 12:00:00 AM,NA,Material Particulado; Dioxido De Azufre; Oxidos D*,Gas Natural,15,0.5,Calidad Del Aire,NA,Expediente Y Perm-0001-11,POINT (-72.95375833 5.72259444)
568,Tibasosa,La Carrera-Patrocinio,-72.95477778,5.72061111,Dispersa,Otro,Planta De Asfalto Y Trituracion,Molienda,0,,08/01/2016 12:00:00 AM,NA,Material Particulado; Dioxido De Azufre; Oxidos D*,Acpm,15,0.5,Emisiones,NA,Expediente Y Perm-0001-11,POINT (-72.95477778 5.72061111)
569,Tibasosa,La Carrera-Patrocinio,-72.95533611,5.72216944,Dispersa,Otro,Planta De Asfalto Y Trituracion,Acopio,0,,08/01/2016 12:00:00 AM,NA,Material Particulado; Dioxido De Azufre; Oxidos D*,Acpm,15,0.5,Emisiones,NA,Expediente Y Perm-0001-11,POINT (-72.95533611 5.72216944)
570,Soata,La Laguna,-72.64816389,6.31666667,Otro,Otro,Produccion De Mezcla Asfaltica,Trituracion,3,,06/21/2015 12:00:00 AM,No,NA,NA,,,NA,NA,La Empresa Ya No Esta Operando,POINT (-72.64816389 6.31666667)
571,Corrales,Reyes Patria,-72.83628056,5.81416389,Dispersa,Otro,Centro De Acopio Y Trituracion De Carbo,Acopio,0,,,NA,Material Particulado (Mp),NA,,,Calidad Del Aire,NA,Ninguna,POINT (-72.83628056 5.81416389)
572,Corrales,Reyes Patria,-72.83656111,5.81392222,Otro,Otro,Centro De Acopio Y Trituracion De Carbo,Molienda,0,,,NA,Material Particulado (Mp),NA,,,Calidad Del Aire,NA,Ninguna,POINT (-72.83656111 5.81392222)
573,Corrales,Reyes Patria,-72.83621944,5.81399444,Otro,Otro,Centro De Acopio Y Trituracion De Carbo,Molienda,0,,,NA,Material Particulado (Mp),NA,,,Calidad Del Aire,NA,Ninguna,POINT (-72.83621944 5.81399444)
574,Corrales,Reyes Patria,-72.83632222,5.81409444,Dispersa,Otro,Centro De Acopio Y Trituracion De Carbo,Acopio,0,,,NA,Material Particulado (Mp),NA,,,Calidad Del Aire,NA,Ninguna,POINT (-72.83632222 5.81409444)
575,Corrales,Reyes Patria,-72.83612222,5.81344444,Dispersa,Otro,Centro De Acopio Y Trituracion De Carbo,Acopio,0,,,NA,Material Particulado (Mp),NA,,,Calidad Del Aire,NA,Ninguna,POINT (-72.83612222 5.81344444)
576,Corrales,Reyes Patria,-72.83645278,5.81337222,Dispersa,Otro,Centro De Acopio Y Trituracion De Carbo,Acopio,0,,,NA,Material Particulado (Mp),NA,,,Calidad Del Aire,NA,Ninguna,POINT (-72.83645278 5.81337222)
577,Corrales,Reyes Patria,-72.83665,5.81376667,Dispersa,Otro,Centro De Acopio Y Trituracion De Carbo,Acopio,0,,,NA,Material Particulado (Mp),NA,,,Calidad Del Aire,NA,Ninguna,POINT (-72.83665 5.81376667)
578,Sogamoso,Ombachita,-72.91580556,5.72026389,Caldera / Horno,NA,Fabricacion De Productos De Ceramica Refractaria; No Refractaria Y De Arcilla,Horno,4,,05/17/2016 12:00:00 AM,No,Pm-10; So2; Nox; Hcl; Hf,Carbon,21,1,Emisiones,NA,Permiso Vencido Con Solicitud De Renovacion,POINT (-72.91580556 5.72026389)
579,Sogamoso,Ombachita,-72.91571944,5.72066389,De Area,NA,Fabricacion De Productos De Ceramica Refractaria; No Refractaria Y De Arcilla,Acopio,4,,05/17/2016 12:00:00 AM,No,Pm-10,NA,,,Calidad Del Aire,NA,Permiso Vencido Con Solicitud De Renovacion,POINT (-72.91571944 5.72066389)
580,Sogamoso,Ombachita,-72.91563333,5.72066111,Dispersa,NA,Fabricacion De Productos De Ceramica Refractaria; No Refractaria Y De Arcilla,Molienda,4,,05/17/2016 12:00:00 AM,No,Pm-10,NA,,,Calidad Del Aire,NA,Permiso Vencido Con Solicitud De Renovacion,POINT (-72.91563333 5.72066111)
581,Sogamoso,Zona Urbana,-72.89252222,5.75486111,Dispersa,Filtro De Manga,Produccion De Clinker Y Calcinacion De Minerales,Molienda,4,,06/29/2021 12:00:00 AM,Si,Pm-10,NA,,,Calidad Del Aire,NA,Proyecto Que Requiere De Licencia Ambiental Por Realizar Actividades De Produccion De Cemento,POINT (-72.89252222 5.75486111)
582,Sogamoso,Zona Urbana,-72.89225,5.75538056,Caldera / Horno,Filtro De Manga,Produccion De Clinker Y Calcinacion De Minerales,Horno,4,,06/29/2021 12:00:00 AM,Si,Pm-10; So2; Nox,Carbon,,,Emisiones,NA,Proyecto Que Requiere De Licencia Ambiental Por Realizar Actividades De Produccion De Cemento,POINT (-72.89225 5.75538056)
583,Sogamoso,Zona Urbana,-72.89248056,5.75522222,Caldera / Horno,Filtro De Manga,Produccion De Clinker Y Calcinacion De Minerales,Horno,4,,06/29/2021 12:00:00 AM,Si,Pm-10; So2; Nox,Carbon,,,Emisiones,NA,Proyecto Que Requiere De Licencia Ambiental Por Realizar Actividades De Produccion De Cemento,POINT (-72.89248056 5.75522222)
584,Sogamoso,Zona Urbana,-72.89225,5.754925,De Area,NA,Produccion De Clinker Y Calcinacion De Minerales,Acopio,4,,06/29/2021 12:00:00 AM,Si,Pm-10,NA,,,Calidad Del Aire,NA,Proyecto Que Requiere De Licencia Ambiental Por Realizar Actividades De Produccion De Cemento,POINT (-72.89225 5.754925)
585,Sogamoso,Ombachita,-72.91355,5.72267222,Caldera / Horno,NA,Fabricacion De Productos De Ceramica Refractaria; No Refractaria Y De Arcilla,Horno,4,,11/23/2017 12:00:00 AM,Si,Pm-10; So2; Nox; Hcl; Hf,Carbon,18,0.89999998,Emisiones,NA,NA,POINT (-72.91355 5.72267222)
586,Sogamoso,Ombachita,-72.91332778,5.72236111,De Area,NA,Fabricacion De Productos De Ceramica Refractaria; No Refractaria Y De Arcilla,Acopio,4,,11/23/2017 12:00:00 AM,Si,Pm-10,NA,,,Calidad Del Aire,NA,NA,POINT (-72.91332778 5.72236111)
587,Tunja,Pirgua,-73.33368333,5.53080833,Secado,Lavadores,Planta De Produccion De Mezcla Asfaltica,Horno,2,,08/07/2016 12:00:00 AM,Si,Material Particulado (Mp),Fuel Oil,15,0.5,Emisiones,NA,No Se Encuentra Renovado Sin Embargo Si Se Solicito Renovacion Por Parte Del Titular,POINT (-73.33368333 5.53080833)
588,Tunja,Pirgua,-73.33406667,5.53106667,Otro,Otro,Planta De Produccion De Mezcla Asfaltica,Molienda,2,,08/07/2016 12:00:00 AM,Si,Material Particulado (Mp),NA,,,NA,NA,No Se Encuentra Renovado Sin Embargo Si Se Solicito Renovacion Por Parte Del Titular,POINT (-73.33406667 5.53106667)
589,Tunja,Pirgua,-73.33453333,5.53068333,De Area,Otro,Planta De Produccion De Mezcla Asfaltica,Acopio,2,,08/07/2016 12:00:00 AM,Si,Material Particulado (Mp),NA,,,NA,NA,No Se Encuentra Renovado Sin Embargo Si Se Solicito Renovacion Por Parte Del Titular,POINT (-73.33453333 5.53068333)
590,Tunja,Pirgua,-73.33445,5.5307,De Area,Otro,Planta De Produccion De Mezcla Asfaltica,Acopio,2,,08/07/2016 12:00:00 AM,Si,Material Particulado (Mp),NA,,,NA,NA,No Se Encuentra Renovado Sin Embargo Si Se Solicito Renovacion Por Parte Del Titular,POINT (-73.33445 5.5307)
591,Sogamoso,Zona Urbana,-72.90222222,5.75636944,Dispersa,Filtro De Manga,Produccion De Abono Fosforico Granular,Molienda,2,,01/16/2020 12:00:00 AM,Si,Pm-10,NA,,,Calidad Del Aire,NA,NA,POINT (-72.90222222 5.75636944)
592,Sogamoso,Zona Urbana,-72.90241667,5.75625833,Secado,Filtro De Manga,Produccion De Abono Fosforico Granular,Horno,2,,01/16/2020 12:00:00 AM,Si,Pm-10,NA,,,Calidad Del Aire,NA,NA,POINT (-72.90241667 5.75625833)
593,Nobsa,Guaquira,-72.94057222,5.75910278,Caldera / Horno,Filtro De Manga,Produccion De Cal,Horno,1,,02/17/2022 12:00:00 AM,Si,Pm-10,NA,,,NA,NA,NA,POINT (-72.94057222 5.75910278)
594,Nobsa,Guaquira,-72.940675,5.75899167,Dispersa,NA,Produccion De Cal,Trituracion,1,,02/17/2022 12:00:00 AM,Si,Pm-10,NA,,,NA,NA,NA,POINT (-72.940675 5.75899167)
595,Sogamoso,Zona Urbana,-72.89566667,5.75402222,Otro,Otro,Fundicion Y Microfundicion,Molienda,2,,09/23/2020 12:00:00 AM,Si,Pm-10,NA,,,Calidad Del Aire,NA,Por Capacidad No Requiere De Permiso De Emisiones.,POINT (-72.89566667 5.75402222)
596,Sogamoso,Zona Urbana,-72.89552778,5.75383333,Caldera / Horno,Filtro De Manga,Fundicion Y Microfundicion,Horno,2,,09/23/2020 12:00:00 AM,Si,Pm-10; Sox; Nox; Hf; Hcl,NA,,,Emisiones,NA,NA,POINT (-72.89552778 5.75383333)
597,Sogamoso,Zona Urbana,-72.89536111,5.75472222,Otro,NA,Fundicion Y Microfundicion,Horno,2,,09/23/2020 12:00:00 AM,Si,Pm-10,NA,,,Calidad Del Aire,NA,Funcionan Con Energia Electrica; No Requiere De Permiso De Emisiones,POINT (-72.89536111 5.75472222)
598,Sogamoso,Zona Urbana,-72.88797222,5.75463889,Otro,NA,Fundicion Y Microfundicion,Horno,2,,09/23/2020 12:00:00 AM,Si,Pm-10; Sox; Nox; Hf; Hcl,Gas Natural,,,Calidad Del Aire,NA,Por Capacidad No Requiere De Permiso De Emisiones.,POINT (-72.88797222 5.75463889)
599,Sogamoso,Zona Urbana,-72.89788889,5.75308333,Otro,Ciclones,Fundicion Y Microfundicion,NA,2,,09/23/2020 12:00:00 AM,Si,Pm-10; Cov,NA,,,Calidad Del Aire,NA,Funcionan Con Energia Electrica; No Requiere De Permiso De Emisiones,POINT (-72.89788889 5.75308333)
600,Sogamoso,Zona Urbana,-72.89744444,5.75308333,Otro,Ciclones,Fundicion Y Microfundicion,NA,2,,09/23/2020 12:00:00 AM,Si,Pm-10; Cov,NA,,,Calidad Del Aire,NA,Por Capacidad No Requiere De Permiso De Emisiones.,POINT (-72.89744444 5.75308333)
601,Socha,El Alto,-72.65419444,6.01994444,Caldera / Horno,Otro,Produccion De Coque,Horno,4,,,No,NA,Carbon,300,,Calidad Del Aire,NA,Sin Control,POINT (-72.65419444 6.01994444)
602,Socha,El Alto,-72.65783611,6.01846944,Dispersa,Otro,Acopio De Carbon,Acopio,3,,07/26/2015 12:00:00 AM,No,NA,Carbon,,,Calidad Del Aire,NA,En El Predio No Se Ha Realizado Ninguna Intervencion,POINT (-72.65783611 6.01846944)
603,Socha,El Alto,-72.65374722,6.01623056,Otro,Otro,Acopio De Carbon,Acopio,2,,06/03/2016 12:00:00 AM,No,NA,Carbon,50,,Calidad Del Aire,NA,En El Predio No Se Ha Realizado Ninguna Intervencion,POINT (-72.65374722 6.01623056)
604,Socha,La Chapa,-72.73655556,5.989425,Dispersa,Otro,Acopio De Carbon,Acopio,5,,07/01/2017 12:00:00 AM,No,NA,Carbon,50,,Calidad Del Aire,NA,Mediante Rad 104-6707 Del 04-05-17 Se Presento Solicitud De Renovacion Del Permiso,POINT (-72.73655556 5.989425)
605,Socha,El Alto,-72.65503056,6.01705,Caldera / Horno,Otro,Produccion De Coque,Horno,0,,,NA,Mp; Sox; Hct,Carbon,35,2.5,Emisiones,NA,Hornos De Coquizacion Tipo Solera,POINT (-72.65503056 6.01705)
606,Socha,El Alto,-72.65498333,6.01843889,De Area,Otro,Almacenamiento Y Manejo De Carbon,Acopio,0,,,NA,Material Particulado (Mp),Carbon,,,Calidad Del Aire,070-89,Patio De Acopio No. 1 (Carbon),POINT (-72.65498333 6.01843889)
607,Socha,El Alto,-72.65741667,6.01713056,De Area,Otro,Almacenamiento Y Manejo De Carbon,Acopio,0,,,NA,Material Particulado (Mp),Carbon,,,Calidad Del Aire,070-89,Patio De Acopio No. 2 (Carbon),POINT (-72.65741667 6.01713056)
608,Sogamoso,Zona Urbana,-72.90908333,5.74705556,Caldera / Horno,Filtro De Manga,Fusion De Chatarra,Horno,5,,07/13/2016 12:00:00 AM,No,Pm-10; So2; Nox,NA,42,4,Emisiones,NA,No Se Diligencia La Columna Tipo De Combustible Ni Estado De Combustible; Por Que Utiliza Como Combustible Electrodos Con Energia Electrica,POINT (-72.90908333 5.74705556)
609,Sogamoso,Zona Urbana,-72.90858333,5.74747222,Caldera / Horno,Filtro De Manga,Fusion De Chatarra,Horno,5,,07/13/2016 12:00:00 AM,No,Pm-10; So2; Nox,NA,42,1.27999997,Emisiones,NA,No Se Diligencia La Columna Tipo De Combustible Ni Estado De Combustible; Por Que Utiliza Como Combustible Electrodos Con Energia Electrica,POINT (-72.90858333 5.74747222)
610,Sogamoso,Zona Urbana,-72.90802778,5.74866667,Caldera / Horno,Filtro De Manga,Fusion De Chatarra,Horno,5,,07/13/2016 12:00:00 AM,No,Pm-10; So2; Nox,NA,42,0.80000001,Emisiones,NA,No Se Diligencia La Columna Tipo De Combustible Ni Estado De Combustible; Por Que Utiliza Como Combustible Electrodos Con Energia Electrica,POINT (-72.90802778 5.74866667)
611,Sogamoso,Zona Urbana,-72.91236111,5.74802778,Dispersa,Otro,Fusion De Chatarra,Molienda,5,,07/13/2016 12:00:00 AM,No,Material Particulado (Mp),NA,,,Calidad Del Aire,NA,No Se Diligencia La Columna Tipo De Combustible Ni Estado De Combustible; Por Que La Actividad No Requiere De Estos Conceptos,POINT (-72.91236111 5.74802778)
612,Sogamoso,Zona Urbana,-72.911,5.74891667,Dispersa,Otro,Fusion De Chatarra,Trituracion,5,,07/13/2016 12:00:00 AM,No,Material Particulado (Mp),NA,,,Calidad Del Aire,NA,No Se Diligencia La Columna Tipo De Combustible Ni Estado De Combustible; Por Que La Actividad No Requiere De Estos Conceptos,POINT (-72.911 5.74891667)
613,Sogamoso,Zona Urbana,-72.91088889,5.74794444,Dispersa,Otro,Fusion De Chatarra,Trituracion,5,,07/13/2016 12:00:00 AM,No,NA,NA,,,NA,NA,No Se Diligencia La Columna Tipo De Combustible Ni Estado De Combustible; Ni Estudios Realizados; Por Que La Actividad No Requiere De Estos Conceptos,POINT (-72.91088889 5.74794444)
614,Sogamoso,Zona Urbana,-72.91208333,5.74716667,De Area,Otro,Fusion De Chatarra,Acopio,5,,07/13/2016 12:00:00 AM,No,NA,NA,,,NA,NA,No Se Diligencia La Columna Tipo De Combustible Ni Estado De Combustible; Ni Estudios Realizados; Por Que La Actividad No Requiere De Estos Conceptos,POINT (-72.91208333 5.74716667)
615,Sogamoso,Zona Urbana,-72.9115,5.74802778,De Area,Otro,Fusion De Chatarra,Acopio,5,,07/13/2016 12:00:00 AM,No,Material Particulado (Mp),NA,,,Calidad Del Aire,NA,No Se Diligencia La Columna Tipo De Combustible Ni Estado De Combustible; Por Que La Actividad No Requiere De Estos Conceptos,POINT (-72.9115 5.74802778)
616,Sogamoso,Zona Urbana,-72.90763889,5.74638889,De Area,Otro,Fusion De Chatarra,Acopio,5,,07/13/2016 12:00:00 AM,No,NA,NA,,,Calidad Del Aire,NA,No Se Diligencia La Columna Tipo De Combustible Ni Estado De Combustible; Por Que La Actividad No Requiere De Estos Conceptos,POINT (-72.90763889 5.74638889)
617,Sogamoso,Zona Urbana,-72.90536111,5.74655556,De Area,Otro,Fusion De Chatarra,Acopio,5,,07/13/2016 12:00:00 AM,No,Material Particulado (Mp),NA,,,Calidad Del Aire,NA,No Se Diligencia La Columna Tipo De Combustible Ni Estado De Combustible; Por Que La Actividad No Requiere De Estos Conceptos,POINT (-72.90536111 5.74655556)
618,Sogamoso,Zona Urbana,-72.90555556,5.74605556,Caldera / Horno,Filtro De Manga,Fusion De Chatarra,Acopio,5,,07/13/2016 12:00:00 AM,No,Material Particulado (Mp),NA,,,Emisiones,NA,Es Un Proyecto Que Esta En Pruebas; Por Lo Que Una Vez Viabilizado Se Tendra En Cuenta El Combustible Residuos Solidos; Ya Que Es El Utilizado Por La Empresa Para Poner En Funcionamiento El Pirolizador,POINT (-72.90555556 5.74605556)
